id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:2610,Hans-Rehn-Stift,Hans-Rehn-Stift,Stuttgart,Stuttgart,Bus,82,1,True,False
de:08111:2519,Haus am Weinberg,Haus am Weinberg,Stuttgart,Stuttgart,Bus; Nachtbus,"61, N7",2,True,False
de:08111:2619,Hausenring,Hausenring,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:248,Havelweg,Havelweg,Stuttgart,Stuttgart,Bus,59,1,True,False
de:08111:2477,Hebsacker Straße,Hebsacker Straße,Stuttgart,Stuttgart,Bus,52,1,True,False
de:08111:2593,Heerstraße,Heerstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"81, N1",2,True,False
de:08111:6013,Hegel-Gymnasium,Hegel-Gymnasium,Stuttgart,Stuttgart,Bus,"81, 86",2,True,False
de:08111:2587,Heigelinstraße,Heigelinstraße,Stuttgart,Stuttgart,Bus,"X4, X7",2,True,False
de:08111:2423,Heimberg,Heimberg,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:2244,Helfferichstraße,Helfferichstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:2357,Hemminger Straße,Hemminger Straße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:6511,Herweghstraße,Herweghstraße,Stuttgart,Stuttgart,Bus,44,1,True,False
de:08111:2538,Heumaden Rose,Heumaden Rose,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:2539,Heumaden Schule,Heumaden Schule,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:6155,Hohewartstraße,Hohewartstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"91, N3",2,True,False
de:08111:2617,Holderäcker,Holderäcker,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2404,Honoldweg,Honoldweg,Stuttgart,Stuttgart,Bus; Nachtbus,"40, N2",2,True,False
de:08111:2629,Huttenstraße,Huttenstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2419,Händelstraße,Händelstraße,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:2455,Höhenfreibad,Höhenfreibad,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:2195,Hölderlinstraße,Hölderlinstraße,Stuttgart,Stuttgart,Bus,43,1,True,False
de:08111:2440,Im Chausseefeld,Im Chausseefeld,Stuttgart,Stuttgart,Bus; Nachtbus,"73, N8",2,True,False
de:08111:2578,Im Elsental,Im Elsental,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N1",2,True,False
de:08111:2507,Im Hag,Im Hag,Stuttgart,Stuttgart,Bus; Nachtbus,"60, N6",2,True,False
de:08111:2450,Im Himmerreich,Im Himmerreich,Stuttgart,Stuttgart,Bus,91,1,True,False
de:08111:2246,Im Kaisemer,Im Kaisemer,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:2094,Im Köpfert,Im Köpfert,Stuttgart,Stuttgart,Bus,"74, 122",2,True,False
de:08111:2431,Im Lauch,Im Lauch,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:3996,In den Stegwiesen,In den Stegwiesen,Stuttgart,Stuttgart,Bus,103,1,True,False
de:08111:2433,In der Werre,In der Werre,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:2601,Industriestraße,Industriestraße,Stuttgart,Stuttgart,Bus,80,1,True,False
de:08111:137,Isegrimweg,Isegrimweg,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:2585,Jelinstraße,Jelinstraße,Stuttgart,Möhringen,Bus; Nachtbus,"72, N9",2,True,False
de:08111:6268,Johanneskirche,Johanneskirche,Stuttgart,Stuttgart,Bus,53,1,True,False
de:08111:200,Kameralamtsstraße,Kameralamtsstraße,Stuttgart,Stuttgart,Bus,98,1,True,False
de:08111:2038,Kaserne Möhringen,Kaserne Möhringen,Stuttgart,Stuttgart,Bus; Nachtbus,"73, N8",2,True,False
