id,name,municipality,locality,modes,lines,line_count,selection_reason
de:08116:2028,Rathaus,Filderstadt,Plattenhardt,Bus; Nachtbus,"X7, 76, 77, 809A, 812, 813, 816A, 818A, N89",9,surrounding_city_many_lines
de:08116:2080,Roßbergstraße,Filderstadt,Harthausen,Bus; Nachtbus,"77, 805, 807, 809, 809A, 816A, N89",7,surrounding_city_many_lines
de:08116:2051,Schillerstraße,Filderstadt,Plattenhardt,Bus; Nachtbus,"809A, 814, 816A, 818, 818A, N89",6,surrounding_city_many_lines
de:08116:2042,Schul-/Sportzentrum,Filderstadt,Sielmingen,Bus,"74, 809A, 816A, 817",4,surrounding_city_keyword
de:08116:2029,Waldstraße,Filderstadt,Plattenhardt,Bus,"76, 77, 812, 813, 814, 816A, 818, 818A",8,surrounding_city_many_lines
de:08116:7102,Bad,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"818, 818A, 826, 826A, N18",5,surrounding_city_many_lines
de:08116:2101,Bonländer Straße,Leinfelden-Echterdingen,Echterdingen,Bus; Nachtbus,"76, 77, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:7003,Echterdingen,Leinfelden-Echterdingen,Echterdingen,Bus; S-Bahn; SEV-Bus,"S2, S3, S24, 76, 77, 818, 818A, 828, X82, S2E",10,surrounding_city_rail
de:08116:2124,Erlach,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"811, 814, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2107,Eulenberg,Leinfelden-Echterdingen,Musberg,Bus; Nachtbus,"82, 86, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2103,Flughafen/Messe,Leinfelden-Echterdingen,Echterdingen,Bus; Nachtbus; S-Bahn; SEV-Bus; Stadtbahn,"S2, S3, S24, U6, 65, 122, 812, 813, 828, X82, N8, X10, X60, S2E, S2X, S6X, SXE, X3",18,surrounding_city_rail
de:08116:7173,Frank,Leinfelden-Echterdingen,Leinfelden,Stadtbahn,"U5, U",2,surrounding_city_rail
de:08116:2156,Gewerbegebiet,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"X7, 811, 812, 813, 814, N18",6,surrounding_city_many_lines
de:08116:7185,Gymnasium,Leinfelden-Echterdingen,Echterdingen,Bus; Nachtbus,"814, 818, 818A, 826, 826A, N18",6,surrounding_city_many_lines
de:08116:7178,Hirschstraße,Leinfelden-Echterdingen,Echterdingen,Bus; Nachtbus,"76, 77, 818, 818A, 828, X82, N18",7,surrounding_city_many_lines
